Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estiva Gerbi, 10044,,10044,10144.44,10245.44,10347.45,10450.47,10554.5,10659.54,10765.59,10872.65,10980.72,11089.8
Alfredo Marcondes, 3891,,3891,3929.91,3968.29,4007.68,4047.07,4087.47,4127.87,4168.27,4209.68,4251.09,4293.51
Álvares Machado, 23513,,23513,23748.13,23985.48,24224.85,24466.24,24710.66,24957.1,25206.57,25458.06,25712.58,25969.12
Andradina, 55334,,55334,55887.34,56445.87,57009.45,57579.09,58154.79,58735.54,59322.35,59915.22,60514.15,61119.14
Anhumas, 3738,,3738,3775.38,3812.75,3850.12,3888.5,3926.88,3965.26,4004.65,4044.04,4084.44,4124.84
Emilianópolis, 3020,,3020,3050.2,3080.5,3110.8,3141.1,3172.41,3203.72,3235.03,3267.35,3299.67,3331.99
Flora Rica, 1752,,1752,1769.52,1786.69,1803.86,1821.03,1839.21,1857.39,1875.57,1893.75,1911.93,1930.11
Guaraçaí, 8435,,8435,8519.35,8604.19,8690.04,8776.9,8863.76,8951.63,9040.51,9130.4,9221.3,9313.21
Ilha Solteira, 25064,,25064,25314.64,25567.14,25822.67,26080.22,26340.8,26603.4,26869.03,27137.69,27408.37,27682.08
Irapuru, 7789,,7789,7866.89,7944.66,8023.44,8103.23,8184.03,8265.84,8347.65,8430.47,8514.3,8599.14
Itapura, 4357,,4357,4400.57,4444.0,4488.44,4532.88,4577.32,4622.77,4668.22,4714.68,4761.14,4808.61
Junqueirópolis, 18726,,18726,18913.26,19102.13,19293.02,19485.93,19679.85,19875.79,20073.75,20273.73,20475.73,20679.75
Nova Independência, 3068,,3068,3098.68,3128.98,3159.28,3190.59,3221.9,3253.21,3285.53,3317.85,3350.17,3383.5
Pirapozinho, 24694,,24694,24940.94,25189.4,25440.89,25694.4,25950.94,26209.5,26471.09,26735.71,27002.35,27272.02
Presidente Prudente, 207610,,207610,209686.1,211782.86,213899.82,216037.99,218197.37,220378.97,222581.78,224806.81,227054.06,229324.54
Santo Expedito, 2803,,2803,2831.03,2859.31,2887.59,2915.87,2944.15,2973.44,3002.73,3032.02,3062.32,3092.62
Taciba, 5714,,5714,5771.14,5828.71,5886.28,5944.86,6003.44,6063.03,6123.63,6184.23,6245.84,6307.45
