Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Campo Limpo Paulista, 74074,,74074,74814.74,75562.14,76317.62,77080.17,77850.8,78628.5,79414.28,80208.14,81010.08,81820.1
Campos do Jordão, 47789,,47789,48266.89,48748.66,49235.48,49727.35,50224.27,50726.24,51233.26,51745.33,52262.45,52784.62
Campos Novos Paulista, 4539,,4539,4584.39,4629.84,4675.29,4721.75,4768.21,4815.68,4863.15,4911.63,4960.11,5009.6
Cananéia, 12226,,12226,12348.26,12471.48,12595.71,12720.95,12847.2,12975.47,13104.75,13235.04,13367.35,13500.67
Canas, 4385,,4385,4428.85,4472.28,4516.72,4561.16,4606.61,4652.06,4698.52,4744.98,4791.44,4838.91
Cândido Mota, 29884,,29884,30182.84,30483.82,30787.83,31094.87,31404.94,31718.04,32035.18,32355.35,32678.55,33004.78
Cândido Rodrigues, 2668,,2668,2694.68,2720.94,2747.2,2774.47,2801.74,2829.01,2857.29,2885.57,2913.85,2942.13
Canitar, 4369,,4369,4412.69,4456.12,4500.56,4545.0,4590.45,4635.9,4681.35,4727.81,4774.27,4821.74
Capão Bonito, 46178,,46178,46639.78,47105.39,47576.05,48051.76,48531.51,49016.31,49506.16,50001.06,50501.01,51006.01
Capela do Alto, 17532,,17532,17707.32,17884.07,18062.84,18242.62,18424.42,18608.24,18794.08,18981.94,19170.81,19361.7
Capivari, 48576,,48576,49061.76,49551.61,50046.51,50546.46,51051.46,51561.51,52076.61,52596.76,53121.96,53652.21
Caraguatatuba, 100840,,100840,101848.4,102866.48,103894.66,104932.94,105981.32,107040.81,108110.4,109191.1,110282.91,111384.82
Carapicuíba, 369584,,369584,373279.84,377011.79,380781.11,384588.81,388433.88,392317.33,396240.17,400202.4,404204.02,408246.04
Cardoso, 11805,,11805,11923.05,12042.23,12162.42,12283.62,12405.83,12529.05,12654.29,12780.54,12907.8,13036.07
Casa Branca, 28307,,28307,28590.07,28875.9,29163.75,29454.63,29748.54,30045.48,30345.45,30648.45,30954.48,31263.54
Cássia dos Coqueiros, 2634,,2634,2660.34,2686.6,2712.86,2739.12,2766.39,2793.66,2820.93,2848.2,2876.48,2904.76
Catanduva, 112820,,112820,113948.2,115087.48,116237.87,117399.37,118572.99,119757.72,120954.57,122163.54,123384.63,124617.84
Catiguá, 7127,,7127,7198.27,7269.98,7341.69,7414.41,7488.14,7562.88,7637.62,7713.37,7790.13,7867.9
Cedral, 7972,,7972,8051.72,8131.51,8212.31,8294.12,8376.94,8459.76,8543.59,8628.43,8714.28,8801.14
Cerqueira César, 17532,,17532,17707.32,17884.07,18062.84,18242.62,18424.42,18608.24,18794.08,18981.94,19170.81,19361.7
Cerquilho, 39617,,39617,40013.17,40413.13,40817.13,41225.17,41637.25,42053.37,42473.53,42897.73,43325.97,43758.25
